RepWeekDate	StateID	Percent Positive	Total PCR Tests
05/01/21	MA	0.617	429.000
05/08/21	MA	0.999	391.333
05/15/21	MA	1.474	312.667
05/22/21	MA	2.033	208.000
05/29/21	MA	2.105	147.333
06/05/21	MA	2.866	138.000
06/12/21	MA	3.187	146.333
06/19/21	MA	3.750	142.000
06/26/21	MA	3.553	141.000
07/03/21	MA	4.029	154.333
07/10/21	MA	4.373	179.667
07/17/21	MA	5.465	195.333
07/24/21	MA	7.016	221.667
07/31/21	MA	10.772	239.000
08/07/21	MA	13.436	258.000
08/14/21	MA	17.487	260.333
08/21/21	MA	19.730	262.333
08/28/21	MA	23.856	290.333
09/04/21	MA	26.193	319.667
09/11/21	MA	28.429	362.667
09/18/21	MA	27.352	379.333
09/25/21	MA	24.482	426.333
10/02/21	MA	19.362	513.667
10/09/21	MA	15.680	589.000
10/16/21	MA	13.414	580.667
10/23/21	MA	13.057	514.333
10/30/21	MA	12.479	492.000
11/06/21	MA	11.639	531.333
11/13/21	MA	11.494	568.333
11/20/21	MA	10.866	609.667
11/27/21	MA	9.138	840.667
12/04/21	MA	6.221	1108.000
12/11/21	MA	4.407	1358.000
12/18/21	MA	3.755	1447.333
12/25/21	MA	3.361	1612.667
01/01/22	MA	2.877	1636.667
01/08/22	MA	2.433	1549.000
01/15/22	MA	2.339	1162.667
01/22/22	MA	2.053	837.667
01/29/22	MA	1.819	565.000
02/05/22	MA	1.334	470.333
02/12/22	MA	1.225	460.333
02/19/22	MA	1.130	444.667
02/26/22	MA	1.084	469.333
03/05/22	MA	1.161	492.667
03/12/22	MA	0.906	554.000
03/19/22	MA	0.799	596.333
03/26/22	MA	0.567	648.333
04/02/22	MA	0.625	806.000
04/09/22	MA	0.603	999.667
04/16/22	MA	0.722	1162.000
04/23/22	MA	0.751	1200.667
04/30/22	MA	0.715	1233.667
05/07/22	MA	0.679	1328.000
05/14/22	MA	0.477	1351.333
05/21/22	MA	0.532	1340.667
05/28/22	MA	0.525	1226.667
06/04/22	MA	0.819	1167.333
06/11/22	MA	0.992	1079.000
06/18/22	MA	0.934	1024.000
06/25/22	MA	0.937	966.333
07/02/22	MA	0.949	921.333
07/09/22	MA	1.192	893.667
07/16/22	MA	1.438	829.667
07/23/22	MA	1.500	785.000
07/30/22	MA	2.062	685.333
08/06/22	MA	2.417	644.667
08/13/22	MA	3.016	641.000
08/20/22	MA	3.018	662.667
08/27/22	MA	3.740	695.000
09/03/22	MA	4.066	702.333
09/10/22	MA	4.317	781.667
09/17/22	MA	4.740	875.667
09/24/22	MA	6.288	961.000
10/01/22	MA	8.668	1034.000
10/08/22	MA	11.350	1136.000
10/15/22	MA	14.682	1276.000
10/22/22	MA	18.140	1475.000
10/29/22	MA	21.113	1689.333
11/05/22	MA	23.011	1889.000
11/12/22	MA	23.074	2271.667
11/19/22	MA	20.067	2646.667
11/26/22	MA	15.297	3233.000
12/03/22	MA	10.403	3570.667
12/10/22	MA	7.011	3884.667
12/17/22	MA	4.647	3913.000
12/24/22	MA	3.106	3776.667
12/31/22	MA	2.569	3486.333
01/07/23	MA	2.184	3140.333
01/14/23	MA	2.067	2836.333
01/21/23	MA	1.648	2692.000
01/28/23	MA	1.475	2577.667
02/04/23	MA	1.192	2633.333
02/11/23	MA	1.077	2609.000
02/18/23	MA	0.850	2549.000
02/25/23	MA	0.862	2452.667
03/04/23	MA	0.693	2399.333
03/11/23	MA	0.701	2424.000
03/18/23	MA	0.560	2441.333
03/25/23	MA	0.573	2444.333
04/01/23	MA	0.477	2426.667
04/08/23	MA	0.426	2340.333
04/15/23	MA	0.411	2069.333
04/22/23	MA	0.467	1938.500
