	viral_reads	total_reads	prevalence_per100k	county	date	plant	observation_type
0	0	2737872	641.9516025609522	San Diego County	2020-09-10	SB	data
1	0	6515759	629.3995728421467	San Diego County	2020-09-24	SB	data
2	0	3204232	599.7657175556001	San Diego County	2020-08-27	SB	data
3	0	2782200	779.0903074226133	San Diego County	2020-08-13	SB	data
4	0	3429177	644.5795757252201	San Diego County	2020-10-22	SB	data
5	0	3842559	629.3995728421467	San Diego County	2020-09-24	PL	data
6	0	4419124	641.9516025609522	San Diego County	2020-09-10	PL	data
7	0	3402804	599.7657175556001	San Diego County	2020-08-27	PL	data
8	0	3786318	779.0903074226133	San Diego County	2020-08-13	PL	data
9	0	3857662	644.5795757252201	San Diego County	2020-10-22	PL	data
10	0	3588085	430.1276873627337	Orange County	2020-09-30	OC	data
11	0	4520022	385.61938233202	Orange County	2020-09-23	OC	data
12	0	1327075	361.39741890292584	Orange County	2020-09-16	OC	data
13	0	4874211	434.3495362322066	Orange County	2020-09-03	OC	data
14	0	3689634	439.5016229881735	Orange County	2020-09-02	OC	data
15	0	3283166	498.518061210169	Orange County	2020-08-26	OC	data
16	0	3182825	597.7851772131557	Orange County	2020-08-19	OC	data
17	0	1292650	759.5571235124901	Orange County	2020-08-12	OC	data
18	0	3890259	441.34420957103663	Orange County	2020-10-07	OC	data
19	0	2901986	644.1127647026198	San Diego County	2020-09-11	NC	data
20	0	3467617	593.6453063703973	San Diego County	2020-08-28	NC	data
21	0	4099096	764.1869332936733	San Diego County	2020-08-14	NC	data
22	0	4124544	647.9509886662216	San Diego County	2020-10-23	NC	data
23	0	4902017	607.06180094587	San Diego County	2020-10-09	NC	data
24	0	4514886	618.416796334921	Los Angeles County	2020-09-22	JWPCP	data
25	0	4234727	645.4549942712507	Los Angeles County	2020-09-15	JWPCP	data
26	0	4018438	773.5228645218779	Los Angeles County	2020-09-08	JWPCP	data
27	0	3630148	926.3077881064116	Los Angeles County	2020-09-01	JWPCP	data
28	0	3183234	1137.623195854741	Los Angeles County	2020-08-25	JWPCP	data
29	0	4059288	1378.1496666340513	Los Angeles County	2020-08-18	JWPCP	data
30	0	2102736	1610.2470177023524	Los Angeles County	2020-08-11	JWPCP	data
31	0	4221630	698.0714072981606	Los Angeles County	2020-10-13	JWPCP	data
32	0	4832507	678.0479706910199	Los Angeles County	2020-10-06	JWPCP	data
33	0	2374918	856.0461136546961	Los Angeles County	2020-10-27	JWPCP	data
34	0	4362852	707.2362214900361	Los Angeles County	2020-10-20	JWPCP	data
35	3	3579700	645.4549942712507	Los Angeles County	2020-09-15	HTP	data
36	0	3551002	773.5228645218779	Los Angeles County	2020-09-08	HTP	data
37	1	3604679	926.3077881064116	Los Angeles County	2020-09-01	HTP	data
38	1	3486258	1137.623195854741	Los Angeles County	2020-08-25	HTP	data
39	0	2800039	1378.1496666340513	Los Angeles County	2020-08-18	HTP	data
40	0	3318348	1610.2470177023524	Los Angeles County	2020-08-11	HTP	data
41	0	4215471	856.0461136546961	Los Angeles County	2020-10-27	HTP	data
42	0	4350744	707.2362214900361	Los Angeles County	2020-10-20	HTP	data
43	0	2179170	698.0714072981606	Los Angeles County	2020-10-13	HTP	data
44	1	4595209	672.6813931212907	Los Angeles County	2020-10-02	HTP	data
45	0	10246075	625.5285096499607	Los Angeles County	2020-09-23	SJ	data
46	7	10232266	1019.0680263334534	Los Angeles County	2020-11-04	SJ	data
47	16	13154158	1620.8547055660042	Los Angeles County	2020-11-18	SJ	data
48	1	11601202	1166.8171497117485	Los Angeles County	2020-11-11	SJ	data
