table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
		2020	2021	2022
United States	331,449,520	331,511,512	332,031,554	333,287,557
.Autauga County, Alabama	58,802	58,902	59,210	59,759
.Baldwin County, Alabama	231,761	233,219	239,361	246,435
.Barbour County, Alabama	25,224	24,960	24,539	24,706
.Bibb County, Alabama	22,300	22,183	22,370	22,005
.Blount County, Alabama	59,130	59,102	59,085	59,512
.Bullock County, Alabama	10,362	10,296	10,280	10,202
.Butler County, Alabama	19,055	19,031	18,855	18,650
.Calhoun County, Alabama	116,444	116,239	115,677	115,788
.Chambers County, Alabama	34,774	34,645	34,446	34,088
.Cherokee County, Alabama	24,979	24,972	25,026	25,302
.Chilton County, Alabama	45,009	45,051	45,259	45,884
.Choctaw County, Alabama	12,663	12,619	12,549	12,439
.Clarke County, Alabama	23,087	22,981	22,715	22,515
.Clay County, Alabama	14,237	14,211	14,190	14,198
.Cleburne County, Alabama	15,057	15,063	15,148	15,346
.Coffee County, Alabama	53,460	53,547	54,171	54,805
.Colbert County, Alabama	57,232	57,299	57,619	58,033
.Conecuh County, Alabama	11,597	11,553	11,320	11,206
.Coosa County, Alabama	10,382	10,341	10,366	10,166
.Covington County, Alabama	37,567	37,507	37,542	37,602
.Crenshaw County, Alabama	13,197	13,165	13,056	13,025
.Cullman County, Alabama	87,857	88,131	89,618	90,665
.Dale County, Alabama	49,319	49,253	49,412	49,544
.Dallas County, Alabama	38,463	38,174	37,565	36,767
.DeKalb County, Alabama	71,611	71,648	71,829	71,998
.Elmore County, Alabama	87,974	87,853	88,737	89,563
.Escambia County, Alabama	36,767	36,680	36,658	36,666
.Etowah County, Alabama	103,441	103,447	103,139	103,088
.Fayette County, Alabama	16,326	16,330	16,155	16,118
.Franklin County, Alabama	32,113	32,075	31,996	31,932
.Geneva County, Alabama	26,660	26,696	26,667	26,783
.Greene County, Alabama	7,734	7,702	7,592	7,422
