"Label (Grouping)","United States"
"Total:","41,104,200"
"    Male:","19,568,561"
"        Under 1 year","247,413"
"        1 year","251,119"
"        2 years","263,358"
"        3 years","267,291"
"        4 years","273,441"
"        5 years","283,051"
"        6 years","280,254"
"        7 years","282,349"
"        8 years","287,549"
"        9 years","289,807"
"        10 years","305,944"
"        11 years","305,285"
"        12 years","315,216"
"        13 years","310,626"
"        14 years","299,275"
"        15 years","300,647"
"        16 years","300,079"
"        17 years","299,411"
"        18 years","313,854"
"        19 years","332,686"
"        20 years","329,907"
"        21 years","311,663"
"        22 years","298,909"
"        23 years","284,660"
"        24 years","282,710"
"        25 years","303,593"
"        26 years","290,050"
"        27 years","295,898"
"        28 years","299,723"
"        29 years","297,308"
"        30 years","329,541"
"        31 years","278,209"
"        32 years","276,858"
"        33 years","265,232"
"        34 years","264,579"
"        35 years","287,883"
"        36 years","252,644"
"        37 years","254,883"
"        38 years","255,111"
"        39 years","255,088"
"        40 years","286,042"
"        41 years","238,886"
"        42 years","237,756"
"        43 years","227,777"
"        44 years","222,178"
"        45 years","243,943"
"        46 years","219,612"
"        47 years","230,443"
"        48 years","237,400"
"        49 years","249,683"
"        50 years","263,872"
"        51 years","228,313"
"        52 years","231,079"
"        53 years","231,348"
"        54 years","242,661"
"        55 years","258,558"
"        56 years","246,985"
"        57 years","242,497"
"        58 years","238,901"
"        59 years","239,329"
"        60 years","248,508"
"        61 years","226,020"
"        62 years","224,782"
"        63 years","213,517"
"        64 years","203,552"
"        65 years","201,691"
"        66 years","177,019"
"        67 years","166,499"
"        68 years","156,606"
"        69 years","147,591"
"        70 years","144,543"
"        71 years","127,809"
"        72 years","118,662"
"        73 years","106,282"
"        74 years","84,882"
"        75 years","81,239"
"        76 years","73,913"
"        77 years","69,337"
"        78 years","60,148"
"        79 years","53,232"
"        80 years","49,817"
"        81 years","42,811"
"        82 years","38,770"
"        83 years","33,245"
"        84 years","30,454"
"        85 years","26,705"
"        86 years","22,013"
"        87 years","19,687"
"        88 years","15,606"
"        89 years","13,481"
"        90 years","11,168"
"        91 years","9,160"
"        92 years","7,236"
"        93 years","5,873"
"        94 years","4,569"
"        95 years","3,430"
"        96 years","2,569"
"        97 years","1,926"
"        98 years","1,216"
"        99 years","1,079"
"        100 to 104 years","1,157"
"        105 to 109 years","231"
"        110 years and over","159"
"    Female:","21,535,639"
"        Under 1 year","241,949"
"        1 year","245,796"
"        2 years","257,103"
"        3 years","261,902"
"        4 years","267,000"
"        5 years","274,890"
"        6 years","272,741"
"        7 years","275,236"
"        8 years","278,514"
"        9 years","279,907"
"        10 years","294,947"
"        11 years","294,701"
"        12 years","305,116"
"        13 years","298,971"
"        14 years","289,118"
"        15 years","286,921"
"        16 years","288,009"
"        17 years","286,529"
"        18 years","310,942"
"        19 years","331,298"
"        20 years","330,995"
"        21 years","312,960"
"        22 years","298,450"
"        23 years","286,803"
"        24 years","286,469"
"        25 years","313,250"
"        26 years","304,848"
"        27 years","312,825"
"        28 years","320,866"
"        29 years","322,652"
"        30 years","355,047"
"        31 years","305,940"
"        32 years","306,058"
"        33 years","293,751"
"        34 years","294,472"
"        35 years","315,172"
"        36 years","283,920"
"        37 years","286,539"
"        38 years","287,029"
"        39 years","287,626"
"        40 years","315,064"
"        41 years","270,157"
"        42 years","268,608"
"        43 years","259,009"
"        44 years","252,270"
"        45 years","268,829"
"        46 years","248,103"
"        47 years","260,187"
"        48 years","268,646"
"        49 years","282,849"
"        50 years","289,923"
"        51 years","258,028"
"        52 years","262,666"
"        53 years","264,302"
"        54 years","277,516"
"        55 years","293,669"
"        56 years","281,989"
"        57 years","279,412"
"        58 years","277,189"
"        59 years","277,517"
"        60 years","288,400"
"        61 years","266,357"
"        62 years","265,390"
"        63 years","256,044"
"        64 years","246,121"
"        65 years","244,692"
"        66 years","220,761"
"        67 years","210,070"
"        68 years","200,300"
"        69 years","193,656"
"        70 years","190,132"
"        71 years","169,930"
"        72 years","159,842"
"        73 years","144,206"
"        74 years","118,370"
"        75 years","116,609"
"        76 years","106,377"
"        77 years","102,410"
"        78 years","90,940"
"        79 years","83,299"
"        80 years","79,998"
"        81 years","69,575"
"        82 years","64,831"
"        83 years","57,896"
"        84 years","54,658"
"        85 years","49,817"
"        86 years","42,701"
"        87 years","39,304"
"        88 years","33,177"
"        89 years","29,935"
"        90 years","26,658"
"        91 years","22,079"
"        92 years","19,027"
"        93 years","15,623"
"        94 years","13,057"
"        95 years","10,290"
"        96 years","8,301"
"        97 years","6,395"
"        98 years","4,934"
"        99 years","3,599"
"        100 to 104 years","5,784"
"        105 to 109 years","774"
"        110 years and over","125"
