County,Total
Adams,22
Allen,10
Ashland,4
Athens,63
Auglaize,8
Belmont,15
Brown,10
Butler,410
Carroll,1
Champaign,9
Clark,78
Clermont,112
Clinton,22
Columbiana,4
Coshocton,6
Cuyahoga,185
Darke,25
Delaware,15
Erie,15
Fairfield,73
Fayette,13
Franklin,477
Fulton,2
Gallia,40
Geauga,3
Greene,34
Guernsey,10
Hamilton,280
Hancock,7
Hardin,2
Harrison,8
Henry,2
Highland,27
Hocking,12
Holmes,3
Huron,2
Jackson,48
Jefferson,35
Knox,27
Lake,16
Lawrence,81
Licking,69
Logan,4
Lorain,17
Lucas,27
Madison,7
Mahoning,10
Marion,62
Medina,25
Meigs,13
Mercer,5
Miami,39
Monroe,1
Montgomery,284
Morgan,2
Morrow,25
Muskingum,57
Noble,14
Ottawa,3
Paulding,1
Perry,27
Pickaway,75
Pike,46
Portage,28
Preble,46
Putnam,2
Richland,9
Ross,85
Sandusky,4
Scioto,94
Seneca,2
Shelby,2
Stark,34
Summit,162
Trumbull,25
Tuscarawas,38
Union,5
Vinton,14
Warren,81
Washington,53
Wayne,47
Wood,5
Wyandot,5
