Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
LBXHE1	Herpes Simplex Virus Type 1	HSV_I	Herpes Simplex Virus Type-1 & Type-2	2015	2016	Laboratory	None
LBXHE2	Herpes Simplex Virus Type 2	HSV_I	Herpes Simplex Virus Type-1 & Type-2	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HSV_I	Herpes Simplex Virus Type-1 & Type-2	2015	2016	Laboratory	None
LBXHA	Hepatitis A antibody	HEPA_I	Hepatitis A	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPA_I	Hepatitis A	2015	2016	Laboratory	None
LBXHBS	Hepatitis B Surface Antibody	HEPB_S_I	Hepatitis B: Surface Antibody	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPB_S_I	Hepatitis B: Surface Antibody	2015	2016	Laboratory	None
LBDHBG	Hepatitis B surface antigen	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBDHD	Hepatitis D (anti-HDV)	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBXHBC	Hepatitis B core antibody	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBDHEG	Hepatitis E IgG (anti-HEV)	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
LBDHEM	Hepatitis E IgM (anti-HEV)	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
LBXHCG	Hepatitis C Genotype	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
LBXHCR	Hepatitis C RNA	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
LBXHIV1	HIV-1 antibody	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHIV2	HIV-2 antibody	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHIVC	HIV-1, 2 Combo Test	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHNAT	HIV Confirmatory Test	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
ORXGH	HPV High Globulin Band result	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXGL	HPV Low Globulin Band result	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH06	HPV Type 6	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH11	HPV Type 11	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH16	HPV Type 16	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH18	HPV Type 18	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH26	HPV Type 26	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH31	HPV Type 31	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH33	HPV Type 33	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH35	HPV Type 35	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH39	HPV Type 39	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH40	HPV Type 40	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH42	HPV Type 42	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH45	HPV Type 45	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH51	HPV Type 51	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH52	HPV Type 52	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH53	HPV Type 53	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH54	HPV Type 54	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH55	HPV Type 55	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH56	HPV Type 56	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH58	HPV Type 58	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH59	HPV Type 59	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH61	HPV Type 61	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH62	HPV Type 62	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH64	HPV Type 64	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH66	HPV Type 66	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH67	HPV Type 67	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH68	HPV Type 68	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH69	HPV Type 69	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH70	HPV Type 70	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
