Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
SEQN	Respondent sequence number.	UCPREG_I	Pregnancy Test - Urine	2015	2016	Laboratory	None
URXPREG	Urine Pregnancy Result	UCPREG_I	Pregnancy Test - Urine	2015	2016	Laboratory	None
LBDHCI	Hepatitis C Antibody (confirmed)	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
SEQN	Respondent sequence number.	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
VPSU	Variance PSU	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
VSTRA	Variance stratum	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR01	1 Year MEC Weight - Jackknife replicate weight 01	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR02	1 Year MEC Weight - Jackknife replicate weight 02	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR03	1 Year MEC Weight - Jackknife replicate weight 03	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR04	1 Year MEC Weight - Jackknife replicate weight 04	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR05	1 Year MEC Weight - Jackknife replicate weight 05	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR06	1 Year MEC Weight - Jackknife replicate weight 06	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR07	1 Year MEC Weight - Jackknife replicate weight 07	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR08	1 Year MEC Weight - Jackknife replicate weight 08	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR09	1 Year MEC Weight - Jackknife replicate weight 09	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
WTM1YR10	1 Year MEC Weight - Jackknife replicate weight 10	SSHC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2015	2015	2015	Laboratory	RDC Only
