Variable Name 	Variable Description                                                                                                                                                                                                                                                                	Data File Name 	Data File Description                                                         	Begin Year 	EndYear 	Component  	Use Constraints
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDFLOW1      	Urine #1 Flow Rate (mL/min)                                                                                                                                                                                                                                                         	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDFLOW2      	Urine #2 Flow Rate (mL/min)                                                                                                                                                                                                                                                         	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDFLOW3      	Urine #3 Flow Rate (mL/min)                                                                                                                                                                                                                                                         	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDTIME1      	The time between last urination and the first urine sample collection in minutes                                                                                                                                                                                                    	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDTIME2      	The time between the first and second urine sample collections in minutes                                                                                                                                                                                                           	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URDTIME3      	The time between the second and third urine sample collections in minutes                                                                                                                                                                                                           	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URXVOL1       	The volume of urine collection #1 (mL)                                                                                                                                                                                                                                              	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URXVOL2       	The volume of urine collection #2 (mL)                                                                                                                                                                                                                                              	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
URXVOL3       	The volume of urine collection #3 (mL)                                                                                                                                                                                                                                              	UCFLOW_J       	Urine Flow Rate                                                               	      2017 	   2018 	Laboratory 	None
PHAALCHR      	The time (in hours) the examinee last drank alcohol such as beer, wine, or liquor.                                                                                                                                                                                                  	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAALCMN      	The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.                                                                                                                                                                                                	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAANTHR      	The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.                                                                                                                                                                                                   	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAANTMN      	The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.                                                                                                                                                                                                 	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHACOFHR      	The time (in hours) since the examinee last drank coffee or tea with cream or sugar.                                                                                                                                                                                                	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
