"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","323,127,515","*****","323,127,515","(X)"
"        Male","159,061,631","±26,978","49.2%","±0.1"
"        Female","164,065,884","±26,978","50.8%","±0.1"
"    Under 5 years","19,798,554","±21,568","6.1%","±0.1"
"    5 to 9 years","20,483,110","±59,803","6.3%","±0.1"
"    10 to 14 years","20,705,797","±53,625","6.4%","±0.1"
"    15 to 19 years","21,491,901","±37,818","6.7%","±0.1"
"    20 to 24 years","22,172,673","±32,723","6.9%","±0.1"
"    25 to 34 years","44,390,248","±35,773","13.7%","±0.1"
"    35 to 44 years","40,655,592","±30,669","12.6%","±0.1"
"    45 to 54 years","42,755,590","±35,864","13.2%","±0.1"
"    55 to 59 years","21,714,703","±52,932","6.7%","±0.1"
"    60 to 64 years","19,744,182","±55,111","6.1%","±0.1"
"    65 to 74 years","28,681,808","±19,519","8.9%","±0.1"
"    75 to 84 years","14,256,737","±38,932","4.4%","±0.1"
"    85 years and over","6,276,620","±35,776","1.9%","±0.1"
"    Median age (years)","37.9","±0.1","(X)","(X)"
"    18 years and over","249,489,772","±33,337","77.2%","±0.1"
"    21 years and over","236,053,044","±83,361","73.1%","±0.1"
"    62 years and over","60,676,451","±55,959","18.8%","±0.1"
"    65 years and over","49,215,165","±22,133","15.2%","±0.1"
"    18 years and over","249,489,772","±33,337","249,489,772","(X)"
"        Male","121,383,148","±25,118","48.7%","±0.1"
"        Female","128,106,624","±21,215","51.3%","±0.1"
"    65 years and over","49,215,165","±22,133","49,215,165","(X)"
"        Male","21,760,438","±12,652","44.2%","±0.1"
"        Female","27,454,727","±14,106","55.8%","±0.1"
"RACE","","","",""
"    Total population","323,127,515","*****","323,127,515","(X)"
"        One race","312,701,080","±90,475","96.8%","±0.1"
"        Two or more races","10,426,435","±90,471","3.2%","±0.1"
"    One race","312,701,080","±90,475","96.8%","±0.1"
"        White","234,644,039","±111,971","72.6%","±0.1"
"        Black or African American","40,893,369","±64,285","12.7%","±0.1"
"        American Indian and Alaska Native","2,676,399","±33,067","0.8%","±0.1"
"            Cherokee tribal grouping","287,748","±10,448","0.1%","±0.1"
"            Chippewa tribal grouping","126,524","±5,491","0.0%","±0.1"
"            Navajo tribal grouping","314,679","±8,811","0.1%","±0.1"
"            Sioux tribal grouping","126,015","±6,678","0.0%","±0.1"
"        Asian","17,556,935","±43,427","5.4%","±0.1"
"            Asian Indian","3,813,407","±51,213","1.2%","±0.1"
"            Chinese","4,214,856","±50,407","1.3%","±0.1"
"            Filipino","2,811,885","±42,899","0.9%","±0.1"
"            Japanese","789,830","±19,478","0.2%","±0.1"
"            Korean","1,438,915","±29,643","0.4%","±0.1"
"            Vietnamese","1,803,575","±35,459","0.6%","±0.1"
"            Other Asian","2,684,467","±53,685","0.8%","±0.1"
"        Native Hawaiian and Other Pacific Islander","595,986","±11,433","0.2%","±0.1"
"            Native Hawaiian","178,874","±9,632","0.1%","±0.1"
"            Guamanian or Chamorro","82,398","±6,839","0.0%","±0.1"
"            Samoan","119,605","±9,612","0.0%","±0.1"
"            Other Pacific Islander","215,109","±12,642","0.1%","±0.1"
"        Some other race","16,334,352","±120,967","5.1%","±0.1"
"    Two or more races","10,426,435","±90,471","3.2%","±0.1"
"        White and Black or African American","2,818,186","±46,972","0.9%","±0.1"
"        White and American Indian and Alaska Native","1,926,535","±26,408","0.6%","±0.1"
"        White and Asian","2,168,592","±33,506","0.7%","±0.1"
"        Black or African American and American Indian and Alaska Native","333,113","±13,661","0.1%","±0.1"
"    Race alone or in combination with one or more other races","","","",""
"        Total population","323,127,515","*****","323,127,515","(X)"
"            White","243,538,566","±137,283","75.4%","±0.1"
"            Black or African American","45,133,880","±51,800","14.0%","±0.1"
"            American Indian and Alaska Native","5,586,703","±45,453","1.7%","±0.1"
"            Asian","20,901,780","±30,630","6.5%","±0.1"
"            Native Hawaiian and Other Pacific Islander","1,366,322","±23,332","0.4%","±0.1"
"            Some other race","18,049,903","±115,006","5.6%","±0.1"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","323,127,515","*****","323,127,515","(X)"
"        Hispanic or Latino (of any race)","57,398,719","±9,826","17.8%","±0.1"
"            Mexican","36,255,589","±90,344","11.2%","±0.1"
"            Puerto Rican","5,450,472","±60,590","1.7%","±0.1"
"            Cuban","2,212,566","±37,962","0.7%","±0.1"
"            Other Hispanic or Latino","13,480,092","±79,101","4.2%","±0.1"
"        Not Hispanic or Latino","265,728,796","±9,826","82.2%","±0.1"
"            White alone","197,479,450","±20,766","61.1%","±0.1"
"            Black or African American alone","39,717,127","±59,556","12.3%","±0.1"
"            American Indian and Alaska Native alone","2,125,635","±18,356","0.7%","±0.1"
"            Asian alone","17,345,193","±41,556","5.4%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","533,675","±10,049","0.2%","±0.1"
"            Some other race alone","758,275","±23,892","0.2%","±0.1"
"            Two or more races","7,769,441","±68,729","2.4%","±0.1"
"                Two races including Some other race","308,586","±13,924","0.1%","±0.1"
"                Two races excluding Some other race, and Three or more races","7,460,855","±67,104","2.3%","±0.1"
"    Total housing units","135,702,775","±3,052","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","228,849,669","±138,686","228,849,669","(X)"
"        Male","110,858,917","±78,794","48.4%","±0.1"
"        Female","117,990,752","±75,421","51.6%","±0.1"
